,,Chubu,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Chubu
2023/01/01,00:00,0,8569,507,0,174,0,109,0,319,2086,0,0,0,11764,24.28
2023/01/01,01:00,0,7599,496,0,172,0,128,0,626,2415,0,0,0,11436,23.42
2023/01/01,02:00,0,7102,491,0,173,0,165,0,656,2733,0,0,0,11320,22.53
2023/01/01,03:00,0,7038,448,0,174,0,190,0,644,2690,0,0,0,11184,22.39
2023/01/01,04:00,0,7112,448,0,174,0,182,0,491,2515,0,0,0,10922,21.91
2023/01/01,05:00,0,7027,476,0,169,0,175,0,458,2381,0,0,0,10686,21.57
2023/01/01,06:00,0,6692,474,1,168,0,183,0,337,2778,0,0,0,10633,22.42
2023/01/01,07:00,0,6943,475,0,171,569,186,0,95,2669,0,0,0,11108,23.6
2023/01/01,08:00,0,5943,466,0,173,2931,207,-51,0,1964,0,0,0,11633,19.43
2023/01/01,09:00,0,4627,428,0,173,4864,173,-873,0,1865,0,0,0,11257,12.49
2023/01/01,10:00,0,4805,438,0,175,5109,187,-1492,0,1255,0,0,0,10477,2.51
2023/01/01,11:00,0,4301,401,0,173,6077,218,-1961,0,1038,0,0,0,10247,0.02
2023/01/01,12:00,0,4324,396,0,173,6141,220,-2486,0,1187,0,0,0,9955,0.02
2023/01/01,13:00,0,4825,398,0,174,5003,213,-2219,0,1322,0,0,0,9716,0.03
2023/01/01,14:00,0,5110,431,0,173,3191,201,-889,0,1474,0,0,0,9691,1.01
2023/01/01,15:00,0,5415,453,0,173,1430,195,-496,0,2812,0,0,0,9982,11.42
2023/01/01,16:00,0,6514,493,0,173,140,191,0,126,3097,0,0,0,10734,19.3
2023/01/01,17:00,0,7590,550,0,172,0,210,0,303,3065,0,0,0,11890,23.04
2023/01/01,18:00,0,7849,553,0,172,0,206,0,390,2920,0,0,0,12090,23.05
2023/01/01,19:00,0,7568,570,0,172,0,189,0,661,2965,0,0,0,12125,22.78
2023/01/01,20:00,0,7444,562,0,172,0,195,0,813,2947,0,0,0,12133,22.4
2023/01/01,21:00,0,6881,515,1,171,0,213,0,794,3371,0,0,0,11946,22.93
2023/01/01,22:00,0,6868,498,0,172,0,216,0,790,2834,0,0,0,11378,22.32
2023/01/01,23:00,0,6613,460,0,172,0,228,0,615,2977,0,0,0,11065,21.61
2023/01/02,00:00,0,6616,450,0,172,0,241,0,656,2288,0,0,0,10423,20.68
2023/01/02,01:00,0,6238,452,0,174,0,261,0,617,2413,0,0,0,10155,20.56
2023/01/02,02:00,0,6707,456,0,173,0,260,0,481,2202,0,0,0,10279,20.78
2023/01/02,03:00,0,6908,465,0,173,0,246,0,417,2212,0,0,0,10421,21.3
2023/01/02,04:00,0,6794,481,0,173,0,233,0,435,2275,0,0,0,10391,20.63
2023/01/02,05:00,0,6749,495,0,172,0,222,0,443,2294,0,0,0,10375,18.99
2023/01/02,06:00,0,6817,499,0,172,0,198,0,293,2569,0,0,0,10548,19.7
2023/01/02,07:00,0,7145,508,1,172,429,175,0,146,2517,0,0,0,11093,21.55
2023/01/02,08:00,0,6281,452,0,172,2446,155,0,176,2131,0,0,0,11813,20.84
2023/01/02,09:00,0,5612,412,0,172,3900,150,0,72,1326,0,0,0,11644,15.23
2023/01/02,10:00,0,4634,438,0,173,5024,147,-858,0,1685,0,0,0,11243,17.73
2023/01/02,11:00,0,4791,415,0,172,4866,160,-1889,0,2218,0,0,0,10733,16.73
2023/01/02,12:00,0,4803,416,0,172,4671,187,-1591,0,2079,0,0,0,10737,16.21
2023/01/02,13:00,0,4519,412,0,172,4572,192,-1870,0,2568,0,0,0,10565,14.19
2023/01/02,14:00,0,4793,448,0,171,3939,200,-2180,0,3098,0,0,0,10469,18.81
2023/01/02,15:00,0,5757,473,0,172,2030,195,-544,0,2605,0,0,0,10688,18.97
2023/01/02,16:00,0,7715,506,0,170,204,180,0,25,2522,0,0,0,11322,20.87
2023/01/02,17:00,0,9553,587,0,172,0,170,0,510,1652,0,0,0,12644,22.38
2023/01/02,18:00,0,9899,638,0,172,0,157,0,665,1436,0,0,0,12967,22.7
2023/01/02,19:00,0,10020,598,0,172,0,126,0,495,1614,0,0,0,13025,22.91
2023/01/02,20:00,0,10091,617,0,173,0,103,0,411,1620,0,0,0,13015,23.01
2023/01/02,21:00,0,9855,546,1,172,0,77,0,496,1658,0,0,0,12805,22.99
2023/01/02,22:00,0,8842,465,0,172,0,85,0,606,2012,0,0,0,12182,23.07
2023/01/02,23:00,0,8271,422,0,172,0,97,0,529,2438,0,0,0,11929,22.76
2023/01/03,00:00,0,8209,459,0,171,0,114,0,425,2026,0,0,0,11404,22.29
2023/01/03,01:00,0,7863,455,0,172,0,97,0,391,2227,0,0,0,11205,21.86
2023/01/03,02:00,0,7989,466,0,171,0,92,0,419,2170,0,0,0,11307,21.83
2023/01/03,03:00,0,8111,439,0,172,0,98,0,445,2078,0,0,0,11343,21.86
2023/01/03,04:00,0,7902,439,0,170,0,116,0,421,2122,0,0,0,11170,21.86
2023/01/03,05:00,0,7563,436,0,172,0,136,0,394,2355,0,0,0,11056,21.95
2023/01/03,06:00,0,7776,440,0,171,0,131,0,522,2331,0,0,0,11371,22.2
2023/01/03,07:00,0,8121,446,1,170,514,130,0,635,2107,0,0,0,12124,23.13
2023/01/03,08:00,0,7008,455,0,170,2850,122,0,323,1880,0,0,0,12808,22.1
2023/01/03,09:00,0,5693,424,0,167,4942,138,-176,0,1384,0,0,0,12572,15.28
2023/01/03,10:00,0,5344,435,0,167,5722,145,-932,0,1035,0,0,0,11916,11.23
2023/01/03,11:00,0,5590,431,0,168,5831,151,-1110,0,440,0,0,0,11501,1.44
2023/01/03,12:00,0,5803,417,0,168,5115,160,-1511,0,949,0,0,0,11101,0.52
2023/01/03,13:00,0,5805,457,0,170,4841,156,-1394,0,896,0,0,0,10931,1.72
2023/01/03,14:00,0,5868,483,0,169,3842,157,-1714,0,2118,0,0,0,10923,3.41
2023/01/03,15:00,0,6487,484,0,169,1988,155,-887,0,2805,0,0,0,11201,16.26
2023/01/03,16:00,0,7772,513,0,167,202,136,-113,0,3213,0,0,0,11890,21.46
2023/01/03,17:00,0,9950,541,0,168,0,128,0,213,2310,0,0,0,13310,23.3
2023/01/03,18:00,0,10714,656,0,168,0,116,0,204,1779,0,0,0,13637,24.05
2023/01/03,19:00,0,10974,607,0,169,0,106,0,215,1568,0,0,0,13639,23.98
2023/01/03,20:00,0,10941,582,0,168,0,102,0,150,1606,0,0,0,13549,23.52
2023/01/03,21:00,0,10758,441,1,169,0,124,0,93,1573,0,0,0,13159,22.48
2023/01/03,22:00,0,10150,417,0,167,0,121,0,25,1491,0,0,0,12371,21.58
2023/01/03,23:00,0,9730,408,0,169,0,136,0,3,1552,0,0,0,11998,20.6
2023/01/04,00:00,0,9557,431,0,168,0,145,0,3,1045,0,0,0,11349,21.25
2023/01/04,01:00,0,9048,438,0,168,0,165,0,3,1287,0,0,0,11109,20.56
2023/01/04,02:00,0,9266,459,0,168,0,174,0,3,1149,0,0,0,11219,19.9
2023/01/04,03:00,0,9313,459,0,167,0,181,0,3,1112,0,0,0,11235,19.83
2023/01/04,04:00,0,9428,452,0,168,0,184,0,3,878,0,0,0,11113,18.92
2023/01/04,05:00,0,9522,452,0,168,0,194,0,3,837,0,0,0,11176,20.56
2023/01/04,06:00,0,10525,460,0,171,0,177,0,3,542,0,0,0,11878,21.84
2023/01/04,07:00,0,11378,463,1,177,363,166,0,56,327,0,0,0,12931,24.87
2023/01/04,08:00,0,10229,539,0,177,2031,158,0,131,874,0,0,0,14139,22.46
2023/01/04,09:00,0,9386,433,0,188,3211,162,0,3,956,0,0,0,14339,18.83
2023/01/04,10:00,0,8066,456,0,192,3537,190,0,3,1503,0,0,0,13947,18.54
2023/01/04,11:00,0,7449,450,0,193,3729,196,-5,0,1805,0,0,0,13817,14.03
2023/01/04,12:00,0,7279,452,0,208,3707,193,-365,0,2114,0,0,0,13588,13.01
2023/01/04,13:00,0,7134,447,0,208,3595,189,-444,0,2438,0,0,0,13567,17.46
2023/01/04,14:00,0,7837,500,0,206,2764,191,-315,0,2202,0,0,0,13385,17.68
2023/01/04,15:00,0,9740,532,0,208,1385,183,0,57,1311,0,0,0,13416,17.62
2023/01/04,16:00,0,12304,616,0,209,187,164,0,212,559,0,0,0,14251,21.66
2023/01/04,17:00,0,13322,824,0,209,0,143,0,284,539,0,0,0,15321,22.56
2023/01/04,18:00,0,13495,928,0,211,0,162,0,144,572,0,0,0,15512,23.02
2023/01/04,19:00,0,13063,927,0,212,0,176,0,27,949,0,0,0,15354,22.87
2023/01/04,20:00,0,12829,850,0,212,0,160,0,6,957,0,0,0,15014,21.83
2023/01/04,21:00,0,12551,677,1,214,0,155,0,45,679,0,0,0,14322,21.92
2023/01/04,22:00,0,11868,577,0,212,0,140,0,3,491,0,0,0,13291,21.71
2023/01/04,23:00,0,11256,556,0,213,0,107,0,4,696,0,0,0,12832,19.6
2023/01/05,00:00,0,9814,416,0,214,0,84,0,74,1615,0,0,0,12217,20.43
2023/01/05,01:00,0,9511,416,0,214,0,93,0,4,1812,0,0,0,12050,17.66
2023/01/05,02:00,0,9330,443,0,215,0,107,0,3,2078,0,0,0,12176,20.33
2023/01/05,03:00,0,9515,454,0,214,0,98,0,3,1974,0,0,0,12258,21.29
2023/01/05,04:00,0,9567,452,0,212,0,97,0,44,1804,0,0,0,12176,21.27
2023/01/05,05:00,0,9708,458,0,212,0,98,0,84,2005,0,0,0,12565,20.57
2023/01/05,06:00,0,10809,458,0,214,0,99,0,86,2093,0,0,0,13759,21.83
2023/01/05,07:00,0,12393,640,1,213,621,75,0,149,1358,0,0,0,15450,25.6
2023/01/05,08:00,0,11729,737,0,214,2727,61,0,161,1534,0,0,0,17163,22.7
2023/01/05,09:00,0,10516,686,0,209,4442,88,0,23,1490,0,0,0,17454,20.41
2023/01/05,10:00,0,8949,675,0,209,5616,116,0,77,1276,0,0,0,16918,20.16
2023/01/05,11:00,0,8346,590,0,211,5559,135,0,107,1442,0,0,0,16390,17.7
2023/01/05,12:00,0,8047,580,0,210,5342,164,-112,0,1382,0,0,0,15613,13.2
2023/01/05,13:00,0,8718,565,0,210,4474,158,0,113,1477,0,0,0,15715,18.81
2023/01/05,14:00,0,8750,607,0,209,3616,136,0,102,2167,0,0,0,15587,20.66
2023/01/05,15:00,0,10269,665,0,208,1967,127,0,95,2495,0,0,0,15826,21.53
2023/01/05,16:00,0,12910,919,0,208,202,110,0,107,2041,0,0,0,16497,23.74
2023/01/05,17:00,0,13895,1155,0,210,0,96,0,319,1531,0,0,0,17206,26.51
2023/01/05,18:00,0,13720,1151,0,211,0,94,0,180,1786,0,0,0,17142,25.48
2023/01/05,19:00,0,13499,1171,0,210,0,94,0,138,1575,0,0,0,16687,24.26
2023/01/05,20:00,0,13895,1016,0,211,0,91,0,99,939,0,0,0,16251,22.44
2023/01/05,21:00,0,13625,904,0,212,0,96,0,55,662,0,0,0,15554,21.62
2023/01/05,22:00,0,12641,721,1,211,0,81,0,3,793,0,0,0,14451,21.86
2023/01/05,23:00,0,12041,684,0,211,0,68,0,3,1071,0,0,0,14078,20.37
2023/01/06,00:00,0,10661,530,0,214,0,90,0,3,1746,0,0,0,13244,21.63
2023/01/06,01:00,0,10523,510,0,220,0,109,0,3,1710,0,0,0,13075,19.64
2023/01/06,02:00,0,10517,504,0,219,0,100,0,77,1742,0,0,0,13159,19.39
2023/01/06,03:00,0,10600,491,0,217,0,91,0,177,1598,0,0,0,13174,21.05
2023/01/06,04:00,0,10433,491,0,216,0,88,0,165,1681,0,0,0,13074,21.27
2023/01/06,05:00,0,10874,493,0,217,0,101,0,97,1785,0,0,0,13567,21.27
2023/01/06,06:00,0,12344,497,0,216,0,108,0,284,1410,0,0,0,14859,21.14
2023/01/06,07:00,0,13891,523,1,214,265,97,0,485,876,0,0,0,16352,24.13
2023/01/06,08:00,0,13856,637,0,213,1740,81,0,726,967,0,0,0,18220,24.93
2023/01/06,09:00,0,13015,662,0,210,3300,51,0,182,1214,0,0,0,18634,22.76
2023/01/06,10:00,0,11154,546,0,212,4807,29,0,3,1229,0,0,0,17980,22.29
2023/01/06,11:00,0,9569,534,0,212,5668,32,-357,0,1655,0,0,0,17313,19.62
2023/01/06,12:00,0,10124,529,0,211,5162,61,-1087,0,1242,0,0,0,16242,16.42
2023/01/06,13:00,0,10387,554,0,211,4549,53,-63,0,861,0,0,0,16552,21.58
2023/01/06,14:00,0,10949,652,0,212,2996,36,0,3,1458,0,0,0,16306,22.56
2023/01/06,15:00,0,12624,784,0,213,1113,31,0,3,1556,0,0,0,16324,23.01
2023/01/06,16:00,0,14050,907,0,214,94,27,0,88,1666,0,0,0,17046,25.35
2023/01/06,17:00,0,14217,1073,0,213,0,37,0,206,1684,0,0,0,17430,26.17
2023/01/06,18:00,0,14397,1113,0,216,0,42,0,152,1272,0,0,0,17192,26
2023/01/06,19:00,0,14474,1101,0,218,0,49,0,133,721,0,0,0,16696,25.36
2023/01/06,20:00,0,13992,980,0,218,0,44,0,70,881,0,0,0,16185,23.77
2023/01/06,21:00,0,13650,733,0,218,0,42,0,69,852,0,0,0,15564,23.32
2023/01/06,22:00,0,12897,665,1,218,0,45,0,68,801,0,0,0,14695,21.9
2023/01/06,23:00,0,12805,608,0,218,0,54,0,10,598,0,0,0,14293,17.82
2023/01/07,00:00,0,12407,508,0,219,0,38,0,3,472,0,0,0,13647,21.8
2023/01/07,01:00,0,11825,517,0,219,0,51,0,3,785,0,0,0,13400,20.5
2023/01/07,02:00,0,11701,518,0,219,0,55,0,3,984,0,0,0,13480,21.09
2023/01/07,03:00,0,11619,523,0,218,0,54,0,3,1059,0,0,0,13476,20.65
2023/01/07,04:00,0,11444,485,0,219,0,42,0,3,1092,0,0,0,13285,21.09
2023/01/07,05:00,0,11463,478,0,218,0,30,0,3,1232,0,0,0,13424,19.97
2023/01/07,06:00,0,12064,486,0,218,0,20,0,3,1366,0,0,0,14157,19.91
2023/01/07,07:00,0,13084,512,1,216,445,10,0,3,1060,0,0,0,15331,22.66
2023/01/07,08:00,0,12859,493,0,203,2125,8,0,3,1025,0,0,0,16716,22.52
2023/01/07,09:00,0,12502,497,0,204,3345,3,0,3,450,0,0,0,17004,22.2
2023/01/07,10:00,0,10223,508,0,214,4757,7,0,3,795,0,0,0,16507,20.53
2023/01/07,11:00,0,8776,503,0,212,5892,8,-22,0,373,0,0,0,15742,20.57
2023/01/07,12:00,0,8538,473,0,214,5867,9,-251,0,0,-135,0,0,14715,18.18
2023/01/07,13:00,0,9557,484,0,214,4883,23,-26,0,0,-485,0,0,14650,19.81
2023/01/07,14:00,0,10298,505,0,211,3649,39,0,3,0,-321,0,0,14384,20.9
2023/01/07,15:00,0,12038,605,0,212,1681,50,0,3,0,-196,0,0,14393,19.73
2023/01/07,16:00,0,12512,844,0,213,159,57,0,3,1176,0,0,0,14964,21.69
2023/01/07,17:00,0,13544,965,0,218,0,90,0,31,1092,0,0,0,15940,23.92
2023/01/07,18:00,0,13523,987,0,218,0,133,0,3,1138,0,0,0,16002,24.15
2023/01/07,19:00,0,13628,989,0,219,0,156,0,45,715,0,0,0,15752,22.99
2023/01/07,20:00,0,13610,943,0,220,0,160,0,67,539,0,0,0,15539,23.26
2023/01/07,21:00,0,13041,684,1,219,0,144,0,3,875,0,0,0,14967,22.62
2023/01/07,22:00,0,12334,565,0,220,0,133,0,3,866,0,0,0,14121,21.78
2023/01/07,23:00,0,12411,502,0,220,0,134,0,3,471,0,0,0,13741,19.91
2023/01/08,00:00,0,10604,479,0,219,0,141,0,3,1610,0,0,0,13056,22.38
2023/01/08,01:00,0,9900,481,0,220,0,131,0,3,2102,0,0,0,12837,20.68
2023/01/08,02:00,0,9909,510,0,220,0,135,0,3,2188,0,0,0,12965,20.55
2023/01/08,03:00,0,9878,509,0,220,0,154,0,3,2264,0,0,0,13028,21.09
2023/01/08,04:00,0,9743,519,0,220,0,166,0,3,2222,0,0,0,12873,20
2023/01/08,05:00,0,9708,520,0,220,0,147,0,3,2257,0,0,0,12855,19.78
2023/01/08,06:00,0,9714,523,1,221,0,141,0,3,2361,0,0,0,12964,20.55
2023/01/08,07:00,0,10242,548,0,219,530,111,0,43,1983,0,0,0,13676,21.2
2023/01/08,08:00,0,9074,547,0,217,2775,96,0,3,1847,0,0,0,14559,18.79
2023/01/08,09:00,0,7275,576,0,218,4737,86,-157,0,1667,0,0,0,14402,17.95
2023/01/08,10:00,0,6750,578,0,217,5955,97,-947,0,1043,0,0,0,13693,9.81
2023/01/08,11:00,0,6774,551,0,218,6249,117,-1403,0,623,0,0,0,13129,5
