,,Chugoku,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Chugoku
2023/01/01,00:00,0,6432,156,0,226,0,58,0,0,0,-838,0,0,6033,24.28
2023/01/01,01:00,0,6318,188,0,226,0,66,0,0,0,-857,0,0,5941,23.42
2023/01/01,02:00,0,6324,162,0,226,0,83,0,0,0,-692,0,0,6103,22.53
2023/01/01,03:00,0,6368,164,0,225,0,92,0,0,0,-562,0,0,6287,22.39
2023/01/01,04:00,0,6349,155,0,225,0,104,0,0,0,-621,0,0,6213,21.91
2023/01/01,05:00,0,6313,173,0,224,0,116,0,0,0,-830,0,0,5996,21.57
2023/01/01,06:00,0,6332,183,0,224,0,106,0,0,0,-1042,0,0,5804,21.91
2023/01/01,07:00,0,6393,187,0,225,69,96,0,0,0,-1046,0,0,5924,23.6
2023/01/01,08:00,0,6079,174,0,225,813,94,0,0,0,-1301,0,0,6084,19.43
2023/01/01,09:00,0,4563,174,0,223,1674,106,-97,0,0,-946,0,0,5697,12.49
2023/01/01,10:00,0,3568,157,0,224,2305,102,-572,0,0,-704,0,0,5079,2.51
2023/01/01,11:00,0,3321,155,0,225,2875,114,-1207,0,0,-700,0,0,4784,0.01
2023/01/01,12:00,0,3283,171,0,224,2816,105,-974,0,0,-890,0,0,4736,0.01
2023/01/01,13:00,0,3367,150,0,223,2543,105,-897,0,0,-824,0,0,4666,0.01
2023/01/01,14:00,0,3630,168,0,223,2018,95,-465,0,0,-911,0,0,4758,1.01
2023/01/01,15:00,0,4612,172,0,225,1179,88,-52,0,0,-1310,0,0,4914,7.5
2023/01/01,16:00,0,6000,186,0,224,341,68,0,17,0,-1572,0,0,5264,18.82
2023/01/01,17:00,0,6384,211,0,226,0,71,0,16,0,-1024,0,0,5885,23.04
2023/01/01,18:00,0,6272,204,0,226,0,68,0,37,0,-667,0,0,6140,23.05
2023/01/01,19:00,0,6296,207,0,226,0,57,0,30,0,-637,0,0,6178,22.78
2023/01/01,20:00,0,6297,208,0,226,0,59,0,0,0,-643,0,0,6146,22.4
