,,Hokkaido,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Hokkaido
2023/01/01,00:00,0,2745,345,10,256,0,322,0,1,22,0,0,0,3701,21.81
2023/01/01,01:00,0,2769,344,11,248,0,295,0,19,109,0,0,0,3795,23.42
2023/01/01,02:00,0,2881,355,10,246,0,285,0,0,134,0,0,0,3910,22.53
2023/01/01,03:00,0,2844,424,11,245,0,287,0,0,235,0,0,0,4046,22.39
2023/01/01,04:00,0,2864,434,10,255,0,279,0,0,221,0,0,0,4063,21.91
2023/01/01,05:00,0,2788,449,11,264,0,290,0,0,163,0,0,0,3965,21.57
2023/01/01,06:00,0,2723,390,10,263,0,296,0,0,108,0,0,0,3790,22.42
2023/01/01,07:00,0,2494,389,12,265,92,321,0,0,0,-42,0,0,3531,23.6
2023/01/01,08:00,0,2197,335,11,264,428,316,0,0,0,-47,0,0,3503,19.43
2023/01/01,09:00,0,1632,327,12,263,723,330,-15,0,36,0,0,0,3308,12.49
2023/01/01,10:00,0,1575,286,11,264,871,355,-128,0,40,0,0,0,3274,2.51
2023/01/01,11:00,0,1625,257,11,264,776,379,-181,0,83,0,0,0,3212,0.02
2023/01/01,12:00,0,1640,248,12,265,656,388,-38,0,72,0,0,0,3243,0.02
2023/01/01,13:00,0,1521,255,11,265,555,388,0,0,181,0,0,0,3176,0.03
2023/01/01,14:00,0,1675,272,12,265,380,382,0,0,345,0,0,0,3331,2.34
2023/01/01,15:00,0,2271,361,11,265,76,383,0,0,115,0,0,0,3481,11.42
2023/01/01,16:00,0,2640,511,12,264,0,380,0,0,0,-201,0,0,3605,18.63
2023/01/01,17:00,0,2837,628,11,264,0,400,0,0,0,-358,0,0,3783,23.04
2023/01/01,18:00,0,2894,663,12,264,0,405,0,0,0,-415,0,0,3823,23.05
2023/01/01,19:00,0,3032,565,11,263,0,406,0,2,0,-465,0,0,3815,22.78
2023/01/01,20:00,0,2968,464,12,264,0,400,0,66,0,-341,0,0,3833,22.4
2023/01/01,21:00,0,3070,392,11,263,0,409,0,85,0,-295,0,0,3935,22.93
2023/01/01,22:00,0,3024,335,12,263,0,385,0,70,0,-261,0,0,3827,21.43
2023/01/01,23:00,0,2972,332,11,263,0,365,0,27,0,-48,0,0,3922,21.61
2023/01/02,00:00,0,2917,362,11,264,0,355,0,0,0,-4,0,0,3905,20.28
2023/01/02,01:00,0,2908,376,10,264,0,350,0,0,89,0,0,0,3996,19.65
2023/01/02,02:00,0,3061,385,11,224,0,340,0,28,115,0,0,0,4164,20.65
2023/01/02,03:00,0,2938,384,10,218,0,336,0,59,271,0,0,0,4217,20.66
2023/01/02,04:00,0,2902,397,11,218,0,343,0,20,365,0,0,0,4256,20.63
2023/01/02,05:00,0,2810,453,11,218,0,342,0,0,361,0,0,0,4195,18.99
2023/01/02,06:00,0,2736,528,11,218,0,355,0,0,248,0,0,0,4094,19.7
2023/01/02,07:00,0,2644,551,12,218,61,353,0,0,75,0,0,0,3912,21.55
2023/01/02,08:00,0,2515,399,11,217,357,369,0,0,31,0,0,0,3899,20.84
2023/01/02,09:00,0,1977,316,12,217,622,381,0,0,262,0,0,0,3788,17.46
2023/01/02,10:00,0,1785,274,11,216,788,396,0,7,137,0,0,0,3615,17.73
2023/01/02,11:00,0,1664,257,12,216,839,413,0,2,94,0,0,0,3498,16.73
2023/01/02,12:00,0,1786,243,11,216,672,398,0,11,120,0,0,0,3457,16.21
2023/01/02,13:00,0,1847,271,11,217,473,404,0,0,212,0,0,0,3435,11.96
2023/01/02,14:00,0,2165,305,11,217,264,409,0,0,216,0,0,0,3587,18.81
2023/01/02,15:00,0,2502,348,12,216,58,404,0,0,280,0,0,0,3820,18.97
2023/01/02,16:00,0,2680,459,11,212,1,402,0,0,134,0,0,0,3900,20.04
2023/01/02,17:00,0,2824,641,11,213,0,397,0,34,0,-48,0,0,4072,21.53
2023/01/02,18:00,0,2874,701,11,212,0,406,0,72,0,-162,0,0,4114,22.7
2023/01/02,19:00,0,2972,633,12,212,0,392,0,59,0,-227,0,0,4053,22.91
2023/01/02,20:00,0,3033,544,11,211,0,405,0,58,0,-213,0,0,4049,23.01
2023/01/02,21:00,0,2981,467,11,210,0,409,0,22,0,-75,0,0,4025,22.99
2023/01/02,22:00,0,2905,410,11,209,0,400,0,8,0,-31,0,0,3912,23.07
2023/01/02,23:00,0,2891,378,12,209,0,393,0,20,161,0,0,0,4064,22.76
2023/01/03,00:00,0,2782,400,10,203,0,390,0,0,277,0,0,0,4062,22.29
2023/01/03,01:00,0,2746,410,10,203,0,383,0,0,398,0,0,0,4150,21.86
2023/01/03,02:00,0,2880,420,11,198,0,373,0,0,389,0,0,0,4271,21.83
2023/01/03,03:00,0,3006,430,10,198,0,351,0,13,349,0,0,0,4358,21.86
2023/01/03,04:00,0,2980,422,10,203,0,369,0,2,420,0,0,0,4406,21.86
2023/01/03,05:00,0,2906,417,11,203,0,377,0,0,413,0,0,0,4327,21.95
2023/01/03,06:00,0,2922,410,11,203,0,357,0,0,313,0,0,0,4215,22.2
2023/01/03,07:00,0,2898,454,11,203,76,345,0,0,98,0,0,0,4085,23.13
2023/01/03,08:00,0,2856,357,12,211,401,319,0,0,0,-103,0,0,4053,21.46
2023/01/03,09:00,0,2320,310,11,220,695,331,0,0,33,0,0,0,3921,17.8
2023/01/03,10:00,0,1931,271,11,221,870,324,-23,0,159,0,0,0,3764,11.23
