,,Hokuriku,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Hokuriku
2023/01/01,00:00,0,2324,457,0,117,0,42,0,49,0,-28,0,0,2961,24.28
2023/01/01,01:00,0,2372,489,0,116,0,57,0,0,0,-56,0,0,2978,23.42
2023/01/01,02:00,0,2285,485,0,117,0,55,0,0,140,0,0,0,3081,22.53
2023/01/01,03:00,0,2484,551,0,117,0,55,0,0,0,-70,0,0,3137,22.39
2023/01/01,04:00,0,2493,533,0,117,0,61,0,0,0,-127,0,0,3077,21.91
2023/01/01,05:00,0,2436,524,0,116,0,62,0,0,0,-263,0,0,2875,21.57
2023/01/01,06:00,0,2236,525,0,116,0,62,0,0,0,-320,0,0,2620,21.91
2023/01/01,07:00,0,2226,553,0,116,12,51,0,0,0,-429,0,0,2530,23.6
2023/01/01,08:00,0,1891,496,0,116,70,79,0,0,0,-83,0,0,2569,19.43
2023/01/01,09:00,0,2001,390,0,116,132,84,0,0,0,-147,0,0,2575,12.49
2023/01/01,10:00,0,2008,345,0,116,190,83,0,0,0,-200,0,0,2542,2.51
2023/01/01,11:00,0,1884,349,0,117,196,93,0,0,0,-149,0,0,2491,0.01
2023/01/01,12:00,0,2024,349,0,116,172,83,0,0,0,-245,0,0,2499,0.01
2023/01/01,13:00,0,2023,356,0,116,154,80,0,0,0,-261,0,0,2469,0.01
2023/01/01,14:00,0,1873,378,0,117,69,77,0,0,0,-61,0,0,2453,1.01
2023/01/01,15:00,0,1863,366,0,116,52,48,0,0,30,0,0,0,2475,7.5
2023/01/01,16:00,0,2092,410,0,116,3,43,0,0,0,-81,0,0,2584,18.82
2023/01/01,17:00,0,2304,623,0,117,0,28,0,0,0,-317,0,0,2755,23.04
2023/01/01,18:00,0,2271,715,0,117,0,27,0,0,0,-353,0,0,2776,23.05
2023/01/01,19:00,0,2306,690,0,116,0,34,0,0,0,-385,0,0,2761,22.78
2023/01/01,20:00,0,2385,570,0,116,0,32,0,0,0,-351,0,0,2753,22.4
2023/01/01,21:00,0,2439,475,0,116,0,42,0,0,0,-358,0,0,2714,22.93
2023/01/01,22:00,0,2404,394,0,116,0,30,0,0,0,-251,0,0,2694,22.32
2023/01/01,23:00,0,2310,431,0,116,0,54,0,0,0,-186,0,0,2725,21.61
2023/01/02,00:00,0,2084,479,0,117,0,81,0,0,0,-109,0,0,2652,20.68
2023/01/02,01:00,0,1998,535,0,116,0,93,0,0,0,-32,0,0,2710,20.56
2023/01/02,02:00,0,2159,687,0,116,0,91,0,0,0,-164,0,0,2889,20.78
2023/01/02,03:00,0,2346,612,0,117,0,104,0,0,0,-170,0,0,3008,21.3
2023/01/02,04:00,0,2404,545,0,117,0,87,0,0,0,-164,0,0,2988,20.63
2023/01/02,05:00,0,2270,442,0,116,0,75,0,0,0,-59,0,0,2844,18.99
2023/01/02,06:00,0,2206,385,0,116,0,65,0,0,0,-92,0,0,2680,19.7
2023/01/02,07:00,0,2336,445,0,116,7,56,0,0,0,-353,0,0,2606,21.55
