,,Kansai,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Kansai
2023/01/01,00:00,4956,5765,413,0,67,0,75,0,213,2280,0,0,0,13769,24.28
2023/01/01,01:00,4956,5337,333,0,67,0,79,0,144,2366,0,0,0,13281,23.42
2023/01/01,02:00,4956,5728,303,0,67,0,75,0,148,1957,0,0,0,13233,22.53
2023/01/01,03:00,4956,5651,301,0,67,0,65,0,278,1761,0,0,0,13080,22.39
2023/01/01,04:00,4956,5388,299,0,67,0,74,0,284,1585,0,0,0,12653,21.91
2023/01/01,05:00,4956,4638,299,0,67,0,59,0,47,2085,0,0,0,12152,21.57
2023/01/01,06:00,4956,5003,338,0,67,0,47,-453,0,2197,0,0,0,12154,21.91
2023/01/01,07:00,4956,5108,521,0,67,88,44,-550,0,2530,0,0,0,12764,23.6
2023/01/01,08:00,4955,4659,589,0,67,860,40,-505,0,2970,0,0,0,13635,19.43
2023/01/01,09:00,4955,4040,425,0,67,2073,45,-783,0,2796,0,0,0,13618,12.49
2023/01/01,10:00,4954,3661,445,0,67,3034,54,-1473,0,2505,0,0,0,13246,2.51
2023/01/01,11:00,4954,3637,351,0,67,3357,71,-2227,0,2603,0,0,0,12813,0.01
2023/01/01,12:00,4954,3688,334,0,67,3256,82,-2748,0,2898,0,0,0,12532,0.01
2023/01/01,13:00,4954,3769,374,0,67,2826,89,-2635,0,2862,0,0,0,12307,0.01
2023/01/01,14:00,4955,4067,460,0,67,1951,89,-1857,0,2486,0,0,0,12218,1.01
2023/01/01,15:00,4955,4203,647,0,67,933,82,-1124,0,2417,0,0,0,12179,7.5
2023/01/01,16:00,4953,4599,1063,0,67,165,84,-520,0,2403,0,0,0,12814,18.82
2023/01/01,17:00,4953,5028,1386,0,67,0,64,-27,0,2675,0,0,0,14146,23.04
2023/01/01,18:00,4954,5236,1567,0,67,0,57,0,225,2499,0,0,0,14604,23.05
2023/01/01,19:00,4954,5260,1646,0,67,0,50,-22,0,2613,0,0,0,14568,22.78
2023/01/01,20:00,4955,5760,1504,0,67,0,57,0,77,2118,0,0,0,14538,22.4
2023/01/01,21:00,4955,5821,1153,0,67,0,62,0,137,2213,0,0,0,14408,22.93
2023/01/01,22:00,4955,5156,883,0,67,0,45,0,21,2726,0,0,0,13855,22.32
2023/01/01,23:00,4956,5190,722,0,67,0,56,-420,0,2772,0,0,0,13342,21.61
2023/01/02,00:00,4956,4523,567,0,67,0,67,-828,0,3131,0,0,0,12482,20.68
2023/01/02,01:00,4955,4597,478,0,67,0,71,-687,0,2585,0,0,0,12067,20.56
2023/01/02,02:00,4955,4620,425,0,67,0,71,-481,0,2625,0,0,0,12282,20.78
2023/01/02,03:00,4955,4590,411,0,67,0,54,-449,0,2706,0,0,0,12334,21.3
2023/01/02,04:00,4956,4574,366,0,67,0,51,-498,0,2619,0,0,0,12135,20.63
2023/01/02,05:00,4955,4568,325,0,67,0,45,-462,0,2337,0,0,0,11835,18.99
2023/01/02,06:00,4955,4867,321,0,67,0,45,-797,0,2538,0,0,0,11996,19.7
2023/01/02,07:00,4953,5018,385,0,67,86,46,-402,0,2689,0,0,0,12842,21.55
2023/01/02,08:00,4954,4723,636,0,67,636,56,-99,0,3217,0,0,0,14188,20.84
2023/01/02,09:00,4955,4307,708,0,67,1302,60,-446,0,3689,0,0,0,14643,15.23
2023/01/02,10:00,4955,4113,408,0,67,1855,73,-1033,0,3941,0,0,0,14379,17.73
2023/01/02,11:00,4955,4094,332,0,67,2060,82,-1258,0,3676,0,0,0,14009,16.73
2023/01/02,12:00,4955,3924,314,0,67,1896,89,-1462,0,3850,0,0,0,13634,16.21
2023/01/02,13:00,4956,4121,318,0,67,2025,90,-1748,0,3343,0,0,0,13172,14.19
2023/01/02,14:00,4955,4341,340,0,67,1621,90,-1380,0,3061,0,0,0,13094,18.81
2023/01/02,15:00,4955,4533,418,0,67,880,86,-906,0,3258,0,0,0,13290,18.97
2023/01/02,16:00,4954,5376,687,0,67,178,72,-133,0,2702,0,0,0,13904,20.87
2023/01/02,17:00,4954,5828,1294,0,67,0,52,0,131,2932,0,0,0,15260,22.38
2023/01/02,18:00,4955,6203,1347,0,67,0,32,0,125,2993,0,0,0,15722,22.7
2023/01/02,19:00,4955,5951,1604,0,67,0,29,0,136,2982,0,0,0,15724,22.91
2023/01/02,20:00,4955,6071,1533,0,67,0,34,0,131,2916,0,0,0,15707,23.01
2023/01/02,21:00,4956,6090,1121,0,67,0,67,0,152,2921,0,0,0,15374,22.99
2023/01/02,22:00,4956,5585,735,0,67,0,66,0,169,3093,0,0,0,14671,23.07
2023/01/02,23:00,4956,5755,639,0,67,0,84,0,167,2515,0,0,0,14184,22.76
2023/01/03,00:00,4956,4837,468,0,67,0,68,0,118,2872,0,0,0,13386,22.29
2023/01/03,01:00,4956,4565,429,0,67,0,48,0,117,2842,0,0,0,13023,21.86
2023/01/03,02:00,4956,4771,385,0,67,0,49,0,109,2868,0,0,0,13204,21.83
2023/01/03,03:00,4956,4894,346,0,67,0,55,0,108,2743,0,0,0,13170,21.86
2023/01/03,04:00,4955,4690,313,0,67,0,53,0,111,2680,0,0,0,12870,21.86
2023/01/03,05:00,4956,4604,314,0,67,0,53,0,128,2465,0,0,0,12587,21.95
2023/01/03,06:00,4955,4568,351,0,67,0,38,0,236,2659,0,0,0,12875,22.2
2023/01/03,07:00,4955,4873,411,0,67,95,44,0,416,2910,0,0,0,13772,23.13
2023/01/03,08:00,4955,4527,659,0,67,896,44,0,311,3333,0,0,0,14791,22.1
2023/01/03,09:00,4955,4034,691,0,67,2084,51,0,73,2944,0,0,0,14899,15.28
2023/01/03,10:00,4954,4096,502,0,67,2953,78,-534,0,2397,0,0,0,14511,11.23
2023/01/03,11:00,4954,3920,336,0,67,3479,91,-1129,0,2431,0,0,0,14149,1.44
2023/01/03,12:00,4953,4215,300,0,67,3224,89,-1239,0,2333,0,0,0,13943,0.52
2023/01/03,13:00,4954,3994,310,0,67,2640,92,-978,0,2503,0,0,0,13581,1.72
2023/01/03,14:00,4954,4182,353,0,67,1854,93,-825,0,2599,0,0,0,13278,3.41
2023/01/03,15:00,4954,4746,461,0,67,985,84,-357,0,2533,0,0,0,13474,16.26
2023/01/03,16:00,4954,5408,852,0,67,191,72,0,118,2572,0,0,0,14234,21.46
2023/01/03,17:00,4953,6389,1471,0,67,0,57,0,233,2598,0,0,0,15769,23.3
2023/01/03,18:00,4953,6441,1631,0,67,0,48,0,133,3070,0,0,0,16344,24.05
2023/01/03,19:00,4952,6454,1632,0,67,0,50,0,124,3032,0,0,0,16312,23.98
2023/01/03,20:00,4953,6572,1430,0,67,0,60,0,111,2965,0,0,0,16158,23.52
2023/01/03,21:00,4954,6541,1190,0,67,0,62,0,125,2771,0,0,0,15709,22.48
2023/01/03,22:00,4954,5686,864,0,67,0,63,0,131,3067,0,0,0,14833,21.58
2023/01/03,23:00,4954,5648,706,0,67,0,62,0,243,2619,0,0,0,14299,20.6
2023/01/04,00:00,4954,4400,609,0,67,0,70,-26,0,3336,0,0,0,13412,21.25
2023/01/04,01:00,4955,4407,478,0,67,0,80,-122,0,3094,0,0,0,12959,20.56
2023/01/04,02:00,4955,4390,454,0,67,0,86,0,115,3089,0,0,0,13156,19.9
2023/01/04,03:00,4955,4278,438,0,67,0,93,0,141,3238,0,0,0,13211,19.83
2023/01/04,04:00,4956,4390,429,0,67,0,87,-130,0,3180,0,0,0,12979,18.92
2023/01/04,05:00,4955,4545,431,0,67,0,78,-165,0,3011,0,0,0,12923,20.56
2023/01/04,06:00,4956,5081,477,0,67,0,87,0,44,3056,0,0,0,13768,21.84
2023/01/04,07:00,4955,5479,1006,0,67,92,99,0,230,3246,0,0,0,15175,24.87
2023/01/04,08:00,4955,5747,1260,0,67,912,95,0,47,3483,0,0,0,16566,22.46
2023/01/04,09:00,4956,4867,1320,0,67,2082,103,0,129,3381,0,0,0,16906,18.83
2023/01/04,10:00,4956,4679,1048,0,67,2787,99,-237,0,3417,0,0,0,16817,18.54
2023/01/04,11:00,4956,4887,649,0,67,2955,115,-315,0,3297,0,0,0,16612,14.03
2023/01/04,12:00,4955,4768,605,0,67,2731,132,-81,0,3176,0,0,0,16353,13.01
2023/01/04,13:00,4955,4754,617,0,67,2299,139,0,32,3282,0,0,0,16145,17.46
2023/01/04,14:00,4955,5123,682,0,67,1585,137,-180,0,3672,0,0,0,16041,17.68
2023/01/04,15:00,4955,5986,1129,0,67,821,125,0,9,2955,0,0,0,16047,17.62
2023/01/04,16:00,4955,7015,2083,0,67,165,124,0,241,2145,0,0,0,16796,21.66
2023/01/04,17:00,4954,7633,2523,0,67,0,126,0,213,2577,0,0,0,18093,22.56
2023/01/04,18:00,4954,8163,2538,0,67,0,127,0,261,2295,0,0,0,18406,23.02
2023/01/04,19:00,4953,8099,2516,0,67,0,120,0,202,2240,0,0,0,18198,22.87
2023/01/04,20:00,4953,7646,2272,0,67,0,120,0,117,2618,0,0,0,17794,21.83
2023/01/04,21:00,4953,7615,1520,0,67,0,124,0,163,2578,0,0,0,17020,21.92
2023/01/04,22:00,4954,6744,791,0,67,0,117,0,135,3004,0,0,0,15812,21.71
2023/01/04,23:00,4954,5794,708,0,67,0,115,0,128,3175,0,0,0,14942,19.6
2023/01/05,00:00,4955,4953,643,0,67,0,115,0,135,3074,0,0,0,13942,20.43
2023/01/05,01:00,4955,4744,641,0,67,0,117,0,120,2946,0,0,0,13590,17.66
2023/01/05,02:00,4955,4822,623,0,67,0,127,0,128,3010,0,0,0,13733,20.33
2023/01/05,03:00,4955,5069,564,0,67,0,127,0,126,2887,0,0,0,13796,21.29
2023/01/05,04:00,4957,4875,527,0,67,0,122,0,138,3002,0,0,0,13689,21.27
2023/01/05,05:00,4957,5363,514,0,67,0,97,0,121,2859,0,0,0,13979,20.57
2023/01/05,06:00,4956,6766,527,0,67,0,82,0,378,2716,0,0,0,15492,21.83
2023/01/05,07:00,4956,7483,1200,0,67,96,75,0,466,3222,0,0,0,17564,25.6
2023/01/05,08:00,4955,8458,2138,0,67,880,62,0,242,2835,0,0,0,19638,22.7
2023/01/05,09:00,4955,7711,1986,0,67,2009,70,0,129,3638,0,0,0,20565,20.41
2023/01/05,10:00,4955,6731,1588,0,67,2827,76,-723,0,4745,0,0,0,20265,20.16
2023/01/05,11:00,4955,6543,1240,0,67,3038,76,-332,0,4346,0,0,0,19933,17.7
2023/01/05,12:00,4956,6854,820,0,67,2820,89,-535,0,3991,0,0,0,19061,13.2
2023/01/05,13:00,4956,6285,835,0,67,2388,85,-564,0,5181,0,0,0,19234,18.81
2023/01/05,14:00,4955,6734,976,0,67,1709,86,-40,0,4508,0,0,0,18996,20.66
2023/01/05,15:00,4955,8039,1642,0,67,919,69,0,137,3140,0,0,0,18968,21.53
2023/01/05,16:00,4954,9531,2411,0,67,187,50,0,146,2150,0,0,0,19497,23.74
2023/01/05,17:00,4955,10111,2542,0,67,0,36,0,265,2007,0,0,0,19983,26.51
2023/01/05,18:00,4955,10024,2549,0,67,0,35,0,260,2024,0,0,0,19915,25.48
2023/01/05,19:00,4955,9534,2356,0,67,0,39,0,166,2382,0,0,0,19500,24.26
2023/01/05,20:00,4955,9634,2046,0,67,0,53,0,162,2060,0,0,0,18977,22.44
2023/01/05,21:00,4955,8607,1570,0,67,0,39,0,119,2865,0,0,0,18222,21.62
2023/01/05,22:00,4955,7897,922,0,67,0,41,0,217,3157,0,0,0,17255,21.86
2023/01/05,23:00,4955,7096,715,0,67,0,43,0,192,3250,0,0,0,16318,20.37
2023/01/06,00:00,4955,7167,665,0,67,0,42,0,163,2259,0,0,0,15318,21.63
2023/01/06,01:00,4956,6772,636,0,67,0,47,0,127,2166,0,0,0,14772,19.64
2023/01/06,02:00,4956,7161,607,0,67,0,44,0,119,1971,0,0,0,14924,19.39
2023/01/06,03:00,4956,7121,557,0,67,0,52,0,131,2032,0,0,0,14915,21.05
2023/01/06,04:00,4956,7252,510,0,67,0,47,0,121,1904,0,0,0,14856,21.27
2023/01/06,05:00,4956,7226,486,0,67,0,41,0,148,2156,0,0,0,15081,21.27
2023/01/06,06:00,4955,8503,529,0,67,0,47,0,526,1866,0,0,0,16493,21.14
2023/01/06,07:00,4955,9716,1219,0,67,88,41,0,494,1929,0,0,0,18510,24.13
2023/01/06,08:00,4956,9930,1866,0,67,769,23,0,525,2623,0,0,0,20758,24.93
2023/01/06,09:00,4955,9501,1911,0,67,1856,18,0,199,3053,0,0,0,21560,22.76
2023/01/06,10:00,4956,7132,1605,0,68,2753,23,0,151,4171,0,0,0,20858,22.29
2023/01/06,11:00,4955,6603,1240,0,68,3113,26,0,151,4226,0,0,0,20382,19.62
2023/01/06,12:00,4955,7010,1067,0,68,2955,21,0,136,3155,0,0,0,19367,16.42
2023/01/06,13:00,4956,7124,1124,0,67,2484,18,0,137,3679,0,0,0,19589,21.58
2023/01/06,14:00,4956,7825,1337,0,67,1807,17,0,126,3329,0,0,0,19464,22.56
2023/01/06,15:00,4956,9267,1698,0,67,895,13,0,137,2206,0,0,0,19239,23.01
2023/01/06,16:00,4956,10934,2074,0,67,191,5,0,342,1178,0,0,0,19746,25.35
2023/01/06,17:00,4959,11156,2166,0,67,0,3,0,515,1316,0,0,0,20182,26.17
2023/01/06,18:00,4959,11074,2265,0,67,0,3,0,394,1232,0,0,0,19994,26
2023/01/06,19:00,4960,10379,2274,0,67,0,1,0,270,1537,0,0,0,19488,25.36
2023/01/06,20:00,4961,9846,2166,0,67,0,0,0,227,1680,0,0,0,18946,23.77
2023/01/06,21:00,4961,9515,1683,0,67,0,1,0,188,1920,0,0,0,18336,23.32
2023/01/06,22:00,4961,8650,1087,0,67,0,1,0,189,2473,0,0,0,17427,21.9
2023/01/06,23:00,4961,7604,759,0,67,0,1,0,164,3132,0,0,0,16689,17.82
2023/01/07,00:00,4960,6548,607,0,67,0,1,-479,0,3991,0,0,0,15696,21.8
2023/01/07,01:00,4961,6224,495,0,67,0,2,-500,0,3986,0,0,0,15234,20.5
2023/01/07,02:00,4960,6396,471,0,67,0,1,-385,0,3855,0,0,0,15366,21.09
2023/01/07,03:00,4960,6416,410,0,67,0,1,-294,0,3778,0,0,0,15338,20.65
2023/01/07,04:00,4961,6437,391,0,67,0,2,-493,0,3647,0,0,0,15012,21.09
2023/01/07,05:00,4961,6283,389,0,67,0,1,-254,0,3482,0,0,0,14928,19.97
2023/01/07,06:00,4961,6684,403,0,67,0,1,0,77,3408,0,0,0,15601,19.91
2023/01/07,07:00,4960,7462,840,0,67,68,0,0,274,3237,0,0,0,16910,22.66
2023/01/07,08:00,4960,8116,1678,0,67,592,1,0,222,3363,0,0,0,18999,22.52
2023/01/07,09:00,4960,6559,1898,0,67,1541,3,-250,0,4885,0,0,0,19664,22.2
