,,Shikoku,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Shikoku
2023/01/01,00:00,880,2850,90,0,110,0,130,0,0,1260,0,0,0,2800,24.28
2023/01/01,01:00,880,2840,80,0,110,0,150,0,0,1220,0,0,0,2840,23.42
2023/01/01,02:00,880,2880,70,0,110,0,140,0,0,1120,0,0,0,2960,22.53
2023/01/01,03:00,880,2780,60,0,110,0,150,0,0,940,0,0,0,3040,22.39
2023/01/01,04:00,880,2740,50,0,110,0,150,0,0,910,0,0,0,3020,21.91
2023/01/01,05:00,880,2790,50,0,110,0,140,0,0,1090,0,0,0,2880,21.57
2023/01/01,06:00,880,2700,80,0,110,0,130,0,0,1250,0,0,0,2650,21.91
2023/01/01,07:00,880,2780,90,0,110,70,130,0,0,1410,0,0,0,2650,23.6
2023/01/01,08:00,880,2670,70,0,110,540,130,0,30,1550,0,0,0,2820,19.43
2023/01/01,09:00,880,2080,80,0,110,1070,130,0,300,1410,0,0,0,2640,12.49
2023/01/01,10:00,880,1510,80,0,110,1370,120,0,300,1350,0,0,0,2420,2.51
2023/01/01,11:00,880,1490,100,0,110,1540,120,0,300,1600,0,0,0,2340,0.01
2023/01/01,12:00,880,1430,90,0,110,1640,120,0,300,1660,0,0,0,2310,0.01
2023/01/01,13:00,880,1480,60,0,110,1580,130,0,300,1700,0,0,0,2240,0.01
2023/01/01,14:00,880,1630,50,0,110,1240,130,0,300,1550,0,0,0,2190,1.01
2023/01/01,15:00,880,2230,60,0,110,720,130,0,290,1550,0,0,0,2290,7.5
2023/01/01,16:00,880,2540,70,0,110,170,140,0,220,1250,0,0,0,2440,18.82
2023/01/01,17:00,880,2810,130,0,110,0,150,0,0,1300,0,0,0,2780,23.04
2023/01/01,18:00,880,2560,210,0,110,0,150,0,250,1250,0,0,0,2910,23.05
2023/01/01,19:00,880,2590,250,0,110,0,140,0,180,1230,0,0,0,2920,22.78
2023/01/01,20:00,880,2780,140,0,110,0,110,0,0,1120,0,0,0,2900,22.4
2023/01/01,21:00,880,2770,130,0,110,0,110,0,0,1160,0,0,0,2840,22.93
2023/01/01,22:00,880,2770,50,0,110,0,100,0,0,1220,0,0,0,2690,22.32
2023/01/01,23:00,880,2740,50,0,110,0,100,0,0,1230,0,0,0,2650,21.61
2023/01/02,00:00,880,2730,60,0,110,0,120,0,0,1320,0,0,0,2580,20.68
2023/01/02,01:00,880,2720,50,0,110,0,140,0,0,1260,0,0,0,2640,20.56
2023/01/02,02:00,880,2790,50,0,110,0,150,0,0,1160,0,0,0,2820,20.78
2023/01/02,03:00,880,2840,120,0,110,0,130,0,0,1140,0,0,0,2940,21.3
2023/01/02,04:00,880,2810,60,0,110,0,130,0,0,1040,0,0,0,2950,20.63
2023/01/02,05:00,880,2780,50,0,110,0,130,0,0,1100,0,0,0,2850,18.99
2023/01/02,06:00,880,2770,80,0,110,0,140,0,0,1300,0,0,0,2680,19.7
2023/01/02,07:00,880,2810,110,0,110,60,130,0,0,1400,0,0,0,2700,21.55
2023/01/02,08:00,880,2850,70,0,110,480,120,0,0,1490,0,0,0,3020,20.84
2023/01/02,09:00,880,2360,80,0,110,930,110,0,0,1500,0,0,0,2970,15.23
2023/01/02,10:00,880,1930,80,0,110,1300,130,0,300,1330,0,0,0,2800,17.73
