,,Kyushu,,,,,,,,,,,,,,JEPX Day-Ahead Market Price
,,Nuclear,Thermal,Hydropower,Geothermal,Biomass,SolarPV,Wind,Pumped hydro(pump up),Pumped hydro(generate),Import,Export,SolarPV(curtailment),Wind(curtailment),Demand,Kyushu
2023/01/01,00:00,3002,6889,144,151,520,0,97,0,516,0,-1912,0,0,9407,20.83
2023/01/01,01:00,3001,6742,154,152,517,0,116,0,516,0,-1898,0,0,9300,23.42
2023/01/01,02:00,3002,6946,166,151,520,0,117,0,550,0,-1944,0,0,9508,21.68
2023/01/01,03:00,3000,6961,319,151,519,0,124,0,522,0,-1940,0,0,9656,15
2023/01/01,04:00,3000,6990,317,151,520,0,128,0,419,0,-1936,0,0,9589,12.01
2023/01/01,05:00,3002,7001,249,151,519,0,125,0,112,0,-1886,0,0,9273,7.04
2023/01/01,06:00,3000,6738,206,151,517,0,129,-5,0,0,-1884,0,0,8852,8.59
2023/01/01,07:00,3001,6849,230,152,516,111,121,0,14,0,-1942,0,0,9052,12.01
2023/01/01,08:00,2999,6095,181,151,512,1383,32,0,36,0,-2084,1,36,9305,18.45
2023/01/01,09:00,3000,4046,164,151,468,3107,30,-284,0,0,-2136,2,55,8546,12.49
2023/01/01,10:00,3001,3064,143,151,408,4809,28,-1506,0,0,-2076,155,91,8022,1.01
2023/01/01,11:00,2999,2857,152,151,409,5236,28,-2179,0,0,-1978,971,92,7675,0.01
2023/01/01,12:00,2998,2839,146,151,410,4917,24,-2127,0,0,-1944,1603,95,7414,0.01
2023/01/01,13:00,3000,2883,143,151,411,4373,21,-1989,0,0,-1924,1492,99,7069,0.01
2023/01/01,14:00,3001,2947,144,151,410,4057,23,-1819,0,0,-1936,676,94,6978,0.01
2023/01/01,15:00,3003,3430,152,151,422,2879,32,-971,0,0,-1908,149,94,7190,2.51
2023/01/01,16:00,3000,4807,170,151,493,1004,86,-169,0,0,-1746,0,0,7796,18.3
2023/01/01,17:00,2999,6637,290,151,514,29,119,0,322,0,-2176,0,0,8885,23.04
2023/01/01,18:00,2998,6708,518,151,518,0,129,0,562,0,-2150,0,0,9434,23.05
2023/01/01,19:00,2997,6832,465,151,522,0,128,0,706,0,-2296,0,0,9505,22.78
2023/01/01,20:00,3000,6826,346,151,521,0,127,0,765,0,-2224,0,0,9512,22.4
2023/01/01,21:00,2999,6778,192,151,519,0,112,0,815,0,-2198,0,0,9368,22.93
2023/01/01,22:00,2999,6634,156,151,520,0,101,0,585,0,-2066,0,0,9080,22.32
2023/01/01,23:00,3000,6576,145,151,522,0,97,0,316,0,-1974,0,0,8833,21.61
2023/01/02,00:00,2999,6154,146,151,521,0,88,0,188,0,-1814,0,0,8433,20.68
2023/01/02,01:00,2999,6178,155,151,520,0,99,-5,0,0,-1730,0,0,8367,20.56
2023/01/02,02:00,2999,6588,154,151,519,0,84,0,126,0,-1902,0,0,8719,20.78
2023/01/02,03:00,2998,6685,283,151,519,0,108,0,325,0,-1940,0,0,9129,21.3
2023/01/02,04:00,2998,6672,303,151,522,0,115,0,166,0,-1804,0,0,9123,20.63
2023/01/02,05:00,3000,6562,261,151,518,0,123,0,94,0,-1756,0,0,8953,18.99
2023/01/02,06:00,2998,6339,219,151,519,0,118,-8,0,0,-1624,0,0,8712,19.7
2023/01/02,07:00,3000,6616,231,151,519,62,87,0,223,0,-1918,0,0,8971,21.3
2023/01/02,08:00,3001,5869,179,151,514,1139,74,0,459,0,-2098,0,0,9288,20.84
2023/01/02,09:00,2999,4225,168,151,471,2875,52,-51,0,0,-2098,1,0,8792,15.23
2023/01/02,10:00,3000,3099,147,151,408,4649,54,-1285,0,0,-2124,73,0,8099,1.01
2023/01/02,11:00,2999,2791,145,151,410,5537,55,-2249,0,0,-2006,614,0,7833,0.01
2023/01/02,12:00,2998,2752,155,151,410,5250,55,-2187,0,0,-1952,1365,0,7632,0.01
2023/01/02,13:00,2999,2772,147,151,410,4858,67,-2101,0,0,-1914,1283,0,7389,0.01
2023/01/02,14:00,2998,3027,146,151,408,4352,88,-1995,0,0,-1932,508,0,7243,0.01
